,Unnamed: 0,no,xmin,ymax,xmax,ymin,length,height,center_x,center_y,frame,second,frame_sec,second_acc,confidenceI
232,818,819,92,352.754,176.747,247,84,105,134.6128,300.0425,442,17,17,17.68,0.796806
233,819,820,295,261.656,364.57,167,70,95,329.7145,214.3355,443,17,18,17.72,0.897663
234,820,821,97,350.406,178.699,241,82,109,137.80455,295.865,443,17,18,17.72,0.885298
235,821,822,101,348.283,181.515,236,80,112,141.471,292.0475,444,17,19,17.76,0.881541
236,822,823,296,261.396,363.923,165,68,96,329.754,213.248,444,17,19,17.76,0.854451
237,823,824,298,257.244,366.86,165,69,92,332.251,211.1445,445,17,20,17.8,0.84918
238,824,825,106,344.828,183.51,231,78,113,144.5965,288.153,445,17,20,17.8,0.76357
239,825,826,300,255.019,365.879,165,66,90,332.694,210.0835,446,17,21,17.84,0.82899
240,826,827,312,250.094,374.813,165,63,85,343.486,207.525,451,18,1,18.04,0.794911
241,827,828,312,248.658,378.326,152,67,96,344.9625,200.474,452,18,2,18.08,0.761475
242,828,829,135,293.131,203.162,185,68,108,169.295,239.0245,453,18,3,18.12,0.89222
243,829,830,3,323.743,58.1219,236,55,87,30.72379,280.0735,453,18,3,18.12,0.880598
244,830,831,311,248.314,377.563,153,66,96,344.4835,200.5605,453,18,3,18.12,0.792991
245,831,832,137,286.806,208.453,183,71,104,172.9535,234.862,454,18,4,18.16,0.954445
246,832,833,9,317.752,59.6034,229,51,89,34.15565,273.284,454,18,4,18.16,0.806253
247,833,834,311,242.833,374.699,153,64,90,342.6815,198.0175,454,18,4,18.16,0.75266
248,834,835,142,279.787,206.855,176,64,104,174.6245,227.9775,455,18,5,18.2,0.974831
249,835,836,10,315.492,64.8038,221,55,94,37.34015,268.291,455,18,5,18.2,0.878982
250,836,837,141,271.965,213.514,173,73,99,177.116,222.2815,456,18,6,18.24,0.968515
251,837,838,14,306.932,68.6882,219,55,87,41.37785,263.1875,456,18,6,18.24,0.773617
252,838,839,144,263.361,213.379,165,69,99,178.9305,213.9395,457,18,7,18.28,0.990163
253,839,840,148,254.642,213.174,158,65,97,180.794,206.2695,458,18,8,18.32,0.985787
254,840,841,149,251.135,220.652,156,71,96,184.962,203.356,459,18,9,18.36,0.983283
255,841,842,155,242.587,222.356,149,67,94,188.853,195.669,460,18,10,18.4,0.988193
256,842,843,308,226.927,367.92,151,60,76,337.909,189.168,460,18,10,18.4,0.764004
257,843,844,154,242.422,221.316,144,67,98,187.589,193.365,461,18,11,18.44,0.975773
258,844,845,311,225.365,368.711,150,58,76,339.76,187.4695,461,18,11,18.44,0.75821
259,845,846,157,238.078,225.141,142,68,96,191.3175,190.2385,462,18,12,18.48,0.981675
260,846,847,162,231.131,228.357,139,66,92,195.3695,185.089,463,18,13,18.52,0.994875
261,847,848,167,224.795,231.625,135,65,90,199.0875,179.7265,464,18,14,18.56,0.996619
262,848,849,172,220.254,235.186,132,64,89,203.3545,175.9555,465,18,15,18.6,0.993484
263,849,850,174,217.899,241.601,130,67,88,207.98,173.984,466,18,16,18.64,0.975904
264,850,851,180,219.95,247.466,125,68,95,213.7105,172.5375,467,18,17,18.68,0.966218
265,851,852,186,213.921,253.438,123,67,91,219.937,168.3785,468,18,18,18.72,0.992687
266,852,853,191,210.584,258.346,121,67,89,224.885,165.943,469,18,19,18.76,0.994241
267,853,854,67,228.167,125.101,159,58,70,95.9562,193.3565,469,18,19,18.76,0.963065
268,854,855,198,207.984,264.039,119,67,89,230.7805,163.5765,470,18,20,18.8,0.985762
269,855,856,307,225.839,372.908,143,66,83,339.7655,184.2715,470,18,20,18.8,0.945496
270,856,857,66,230.347,127.656,152,62,78,96.7138,191.156,470,18,20,18.8,0.928856
271,857,858,200,202.862,268.587,119,68,84,234.526,160.7195,471,18,21,18.84,0.967467
272,858,859,70,222.964,130.289,148,60,75,100.1078,185.2545,471,18,21,18.84,0.955404
273,859,860,304,229.71,372.035,145,68,85,338.1235,187.457,471,18,21,18.84,0.916097
274,860,861,209,203.572,273.07,114,64,89,240.967,158.8755,472,18,22,18.88,0.981516
275,861,862,75,213.307,132.306,143,57,70,103.67635,178.156,472,18,22,18.88,0.913232
276,862,863,299,232.784,369.945,145,71,88,334.5315,188.916,472,18,22,18.88,0.768001
277,863,864,214,194.594,281.843,109,68,86,248.054,151.7505,473,18,23,18.92,0.989673
278,864,865,79,211.254,133.046,141,54,70,105.80105,176.1695,473,18,23,18.92,0.925392
279,865,866,300,231.187,361.229,149,61,83,330.702,189.8605,473,18,23,18.92,0.866533
280,866,867,81,218.246,137.136,140,56,79,109.26945,178.903,474,18,24,18.96,0.960027
281,867,868,294,234.43,357.853,147,64,87,325.7905,190.874,474,18,24,18.96,0.95528
282,868,869,85,214.854,139.846,139,55,76,112.52175,176.997,475,19,0,19.0,0.981078
283,869,870,290,238.816,354.612,150,65,88,322.1335,194.628,475,19,0,19.0,0.961562
284,870,871,90,209.276,143.191,136,53,73,116.6906,172.605,476,19,1,19.04,0.953076
285,871,872,286,244.075,351.859,156,65,88,319.122,199.91,476,19,1,19.04,0.942813
286,872,873,283,244.398,351.275,158,69,86,317.0165,201.3545,477,19,2,19.08,0.946337
